2026-08-01 13:00:05 | INFO     | playlist_service.get_playlist_entries | Extrayendo metadatos de playlist: https://www.youtube.com/watch?v=xZkL1Tui2vI&list=RDxZkL1Tui2vI&start_radio=1
2026-08-01 13:00:21 | INFO     | playlist_service.get_playlist_entries | Playlist procesada exitosamente. Videos válidos encontrados: 645
2026-08-01 13:00:21 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=xZkL1Tui2vI
2026-08-01 13:00:21 | INFO     | playlist_service.get_playlist_entries | Extrayendo metadatos de playlist: https://www.youtube.com/watch?v=xZkL1Tui2vI&list=RDxZkL1Tui2vI&start_radio=1
2026-08-01 13:00:24 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: La Beriso - Traicionero (En Vivo en el Estadio Único)
2026-08-01 13:00:35 | INFO     | playlist_service.get_playlist_entries | Playlist procesada exitosamente. Videos válidos encontrados: 329
2026-08-01 13:00:35 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=xZkL1Tui2vI
2026-08-01 13:00:36 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: La Beriso - Traicionero (En Vivo en el Estadio Único)
2026-08-01 13:00:36 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=qkkG6g6vT34
2026-08-01 13:00:37 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: La Beriso - Madrugada (Official Video)
2026-08-01 13:00:37 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=N0Cd5uDntpY
2026-08-01 13:00:39 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: La Beriso - Otra Noche Más (Official Video)
2026-08-01 13:00:39 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=CciXZiGZ_lI
2026-08-01 13:00:40 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: La Beriso con Víctor Heredia - Sobreviviendo
2026-08-01 13:00:40 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=2zqLtAlW8C4
2026-08-01 13:00:41 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Vicentico - Solo un Momento (En Vivo en Corrientes)
2026-08-01 13:00:41 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=nsRGCE6qNmQ
2026-08-01 13:00:43 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Los Autenticos decadentes - El pájaro vió el cielo y se volo / Loco tu forma de ser ("SOMOS")
2026-08-01 13:00:43 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=3NvM3OyXMWo
2026-08-01 13:00:44 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Los Caballeros de la Quema - Avanti Morocha
2026-08-01 13:00:44 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=-8vxXsfbxj4
2026-08-01 13:00:46 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Mancha de Rolando - Arde la ciudad (video oficial) HD
2026-08-01 13:00:46 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=kdfkr1WEzIc
2026-08-01 13:00:47 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Por Mil Noches - AIRBAG -  Video oficial
2026-08-01 13:00:47 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=ETJcV3rPO_U
2026-08-01 13:00:49 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Miranda! - Tu misterioso alguien (Video oficial)
2026-08-01 13:00:49 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=za8EU42wA2o
2026-08-01 13:00:51 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Los Tipitos & No Te Va Gustar - Campanas en la noche (video oficial)
2026-08-01 13:00:51 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=H5CJpZGlmFU
2026-08-01 13:00:52 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: La Vela Puerca | Va A Escampar | A Contraluz
2026-08-01 13:00:52 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=30oa0b2mdUo
2026-08-01 13:00:54 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: No Te Va Gustar - A Las Nueve (Video Oficial)
2026-08-01 13:00:54 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=uo8qDCDZhK0
2026-08-01 13:00:55 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: La Beriso - Como Olvidarme
2026-08-01 13:00:55 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=5FGjpmpAenM
2026-08-01 13:00:57 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Ciro y Los Persas | INSISTO (Video Oficial)
2026-08-01 13:00:57 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=JLbBrJLdb2E
2026-08-01 13:00:59 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: La Beriso - No Me Olvides (En Vivo en el Estadio River Plate)
2026-08-01 13:00:59 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=tVvTDVswTxQ
2026-08-01 13:01:00 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Ji Ji Ji - Estadio Único de La Plata - Indio en Concierto [2008] Full HD
2026-08-01 13:01:00 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=p4A7iNgk2ok
2026-08-01 13:01:01 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Andrés Calamaro - Vasos vacíos. Made in Argentina. Directo 2005
2026-08-01 13:01:01 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=W55nd3X12es
2026-08-01 13:01:03 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Los Auténticos decadentes - Loco tu forma de ser (DVD vivo "Hecho en México" HD
2026-08-01 13:01:03 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=QVmXj0nfpr4
2026-08-01 13:01:04 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: AHYRE - LA NOCHE SIN TÍ (VIVO)
2026-08-01 13:01:04 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=34Ew-QS8_I4
2026-08-01 13:01:06 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: La Beriso - Corazón Duro ft. Bronco
2026-08-01 13:01:06 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=_8LHnLFwrtA
2026-08-01 13:01:07 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: TAN BIONICA - La Melodia de Dios (Official Lyric Video)
2026-08-01 13:01:07 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=-72BiJv09Is
2026-08-01 13:01:08 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Guasones - Tan distintos Ft. M-Clan (video oficial)
2026-08-01 13:01:08 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=TJkmo1PzfJg
2026-08-01 13:01:10 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Turf - Pasos al costado (video oficial) HD
2026-08-01 13:01:10 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=YSflLkVEvTk
2026-08-01 13:01:11 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: No Te Va Gustar - Al Vacío (Video Oficial)
2026-08-01 13:01:11 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=GBsRPUxMkkw
2026-08-01 13:01:13 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: No Te Va Gustar - Tan Lejos (Video Oficial)
2026-08-01 13:01:13 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=FAHYQqqnHv8
2026-08-01 13:01:14 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Coti - Días
2026-08-01 13:01:14 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=VoGwvVoaoCw
2026-08-01 13:01:15 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Soda Stereo - En La Ciudad De La Furia (Gira Me Verás Volver)
2026-08-01 13:01:15 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=2Cql8mG4kWM
2026-08-01 13:01:17 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Attaque 77 - Arrancacorazones (Letra)
2026-08-01 13:01:17 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=RqbO0_qqSl0
2026-08-01 13:01:19 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Los Caballeros de la Quema - Sapo de Otro Pozo (En Vivo Provincia Emergente)
2026-08-01 13:01:19 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=zfAEkjNtPho
2026-08-01 13:01:20 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Andrés Calamaro - Flaca. Made in Argentina. Directo 2005
2026-08-01 13:01:20 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=6NmR9mBs9RE
2026-08-01 13:01:22 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: Andrés Calamaro - La parte de adelante. Made in Argentina. Directo 2005
2026-08-01 13:01:22 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=LfyBZooTlVc
2026-08-01 13:01:23 | DEBUG    | download_manager_service.get_video_info | Metadatos obtenidos exitosamente para: La Vela Puerca - Zafar (DVD "Festejar para sobrevivir, 20 Años")
2026-08-01 13:01:23 | DEBUG    | download_manager_service.get_video_info | Obteniendo metadatos para: https://www.youtube.com/watch?v=AqKdHcQNWnM
